Article,Variables,Trend,Timeseries length [yr],Period,Number of individual years covers,Frequency [obs/yr],Number of stations,Stations,River basin,Nation,Continent,Basin area [km2],Method,Method parameters,,,,,,,,
23,nitrate,-,37,1980-2016,37,biweekly,1,"Bloemhof Dam (C9H021), inlet",Lower Vaal River,South Africa,Africa,"7,220",Mann Kendall test,"Kendall's tau = -0.116, p = 0.015, Sen's slope = - 0.001",,,,,,,,
23,nitrate,0,32,1987-2018,32,biweekly,1,"Vaalharts Weir (C9H008), outlet",Lower Vaal River,South Africa,Africa,"7,220",Mann Kendall test,"Kendall's tau = -0.002, p = 0.968, Sen's slope = 0",,,,,,,,
23,phosphate,+,37,1980-2016,37,biweekly,1,"Bloemhof Dam (C9H021), inlet",Lower Vaal River,South Africa,Africa,"7,220",Mann Kendall test,"Kendall's tau = 0.316, p < 0.0001, Sen's slope = 0.001",,,,,,,,
23,phosphate,0,32,1987-2018,32,biweekly,1,"Vaalharts Weir (C9H008), outlet",Lower Vaal River,South Africa,Africa,"7,220",Mann Kendall test,"Kendall's tau = -0.06, p = 0.465, Sen's slope = 0",,,,,,,,
24,Flow-normalized ammonium,+,30,1980-2009,30,every 4?8 weeks,1,55 km upstream of Taizhou Estuary,Yongan River,China,Asia,"2,474","Weighted Regressions on Time, discharge and season (WRTDS) model",,,,,,,,,
24,Flow-normalized ammonium,-,11,2009-2019,11,every 4?8 weeks,1,55 km upstream of Taizhou Estuary,Yongan River,China,Asia,"2,474","Weighted Regressions on Time, discharge and season (WRTDS) model",,,,,,,,,
24,Flow-normalized ammonium load,+,29,1980-2008,29,every 4?8 weeks,1,55 km upstream of Taizhou Estuary,Yongan River,China,Asia,"2,474","Weighted Regressions on Time, discharge and season (WRTDS) model",,,,,,,,,
24,Flow-normalized ammonium load,-,12,2008-2019,12,every 4?8 weeks,1,55 km upstream of Taizhou Estuary,Yongan River,China,Asia,"2,474","Weighted Regressions on Time, discharge and season (WRTDS) model",,,,,,,,,
24,Flow-normalized total nitrogen,+,40,1980-2019,40,every 4?8 weeks,1,55 km upstream of Taizhou Estuary,Yongan River,China,Asia,"2,474","Weighted Regressions on Time, discharge and season (WRTDS) model",,,,,,,,,
24,Flow-normalized total nitrogen load,+,40,1980-2019,40,every 4?8 weeks,1,55 km upstream of Taizhou Estuary,Yongan River,China,Asia,"2,474","Weighted Regressions on Time, discharge and season (WRTDS) model",,,,,,,,,
24,Flow-normalized nitrate,+,40,1980-2019,40,every 4?8 weeks,1,55 km upstream of Taizhou Estuary,Yongan River,China,Asia,"2,474","Weighted Regressions on Time, discharge and season (WRTDS) model",,,,,,,,,
24,Flow-normalized nitrate load,+,40,1980-2019,40,every 4?8 weeks,1,55 km upstream of Taizhou Estuary,Yongan River,China,Asia,"2,474","Weighted Regressions on Time, discharge and season (WRTDS) model",,,,,,,,,
28,pH,0,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = 7, p = 0.42, slope = -0.0007, intercept =7.77",,,,,,,,
28,water temperature,-,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = -67, p = 0.02, slope = -0.1, intercept = 15.49",,,,,,,,
28,Electrical conductivity,+,21,2000-2020,21,monthly,6,"S1 and S2 (riverine zone(Rz): 36.3743, 127.639, and 36.362, 127.592), S3 (transitional zone (Tz): 36.435, 127.553), S6 (lacustrine zone: dam site; 36.511, 127.503). The S4, and S5 are home to the water intake towers (IT1: 36.373, 127.553 and IT2: 36.475, 127.484),",Geum River,"South Korea
",Asia,"9,914",Mann Kendall test,"S = 80, p = 0.00, slope = 2.11, intercept = 125.27",,,,,,,,
